iter	Passed	Remaining
0	63	6291
1	66	3252
2	68	2226
3	71	1713
4	74	1407
5	76	1201
6	79	1055
7	82	943
8	84	857
9	87	786
10	89	728
11	92	679
12	95	637
13	98	602
14	100	570
15	103	542
16	106	518
17	108	495
18	111	474
19	114	456
20	116	439
21	119	423
22	122	408
23	124	394
24	127	381
25	129	369
26	132	358
27	135	347
28	137	337
29	140	327
30	143	318
31	145	309
32	148	301
33	151	293
34	153	285
35	156	278
36	159	271
37	162	264
38	164	257
39	167	251
40	170	244
41	173	238
42	175	232
43	178	226
44	181	221
45	183	215
46	186	210
47	188	204
48	191	199
49	194	194
50	196	189
51	199	184
52	201	179
53	204	174
54	207	169
55	210	165
56	212	160
57	215	155
58	217	151
59	220	147
60	223	142
61	225	138
62	228	134
63	231	130
64	233	125
65	236	121
66	239	117
67	241	113
68	245	110
69	247	106
70	250	102
71	253	98
72	255	94
73	258	90
74	260	86
75	263	83
76	266	79
77	268	75
78	271	72
79	274	68
80	276	64
81	279	61
82	282	57
83	284	54
84	287	50
85	290	47
86	292	43
87	295	40
88	297	36
89	300	33
90	303	30
91	306	26
92	308	23
93	312	19
94	315	16
95	317	13
96	320	9
97	322	6
98	325	3
99	328	0
